carrera,materia,nombre
Ingeniería Electromecánica,Análisis Matemático I,Curso 1
Ingeniería Electromecánica,Algebra,Curso 1
Ingeniería Electromecánica,Ingeniería y Sociedad,Curso 1
Ingeniería Electromecánica,Química Gral,Curso 1
Ingeniería Electromecánica,Ingeniería Electromecánica I,Curso 1
Ingeniería Electromecánica,Física I,Curso 1
Ingeniería Electromecánica,Alfabetización Académica,Curso 1
Ingeniería Electromecánica,Ingeniería y Sociedad,Curso 2
Ingeniería Electromecánica,Ingeniería Electromecánica I,Curso 2
Ingeniería Electromecánica,Química Gral,Curso 2
Ingeniería Electromecánica,Análisis Matemático I,Curso 2
Ingeniería Electromecánica,Algebra,Curso 2
Ingeniería Electromecánica,Física I,Curso 2
Ingeniería Electromecánica,Alfabetización Académica,Curso 2
Ingeniería Electromecánica,Representación Gráfica ,Curso 1
Ingeniería Electromecánica,Conocimiento de Materiales,Curso 1
Ingeniería Electromecánica,Probabilidad y Estadística,Curso 1
Ingeniería Electromecánica,Programación en Computación,Curso 1
Ingeniería Electromecánica,Estabilidad,Curso 1
Ingeniería Electromecánica,Matemática para Ing. Electromecánica,Curso 1
Ingeniería Electromecánica,Ingeniería Electromecánica II,Curso 1
Ingeniería Electromecánica,Electrotecnia,Curso 1
Ingeniería Electromecánica,Tecnología Mecánica,Curso 1
Ingeniería Electromecánica,Doc. Tec. Elect.,Curso 1
Ingeniería Electromecánica,Ingeniería Electromecánica III,Curso 1
Ingeniería Electromecánica,Mecánica y Mecanismos,Curso 1
Ingeniería Electromecánica,Mecánica de los Fluidos,Curso 1
Ingeniería Electromecánica,E. Renov. Elect.,Curso 1
Ingeniería Electromecánica,Máquinas Eléctricas ,Curso 1
Ingeniería Electromecánica,Legislación,Curso 1
Ingeniería Electromecánica,Elementos de Máquinas,Curso 1
Ingeniería Electromecánica,Electrónica Industrial,Curso 1
Ingeniería Electromecánica,Mediciones Eléctricas,Curso 1
Ingeniería Electromecánica,Instalaciones Térmicas Mecánicas y Frigoríficas,Curso 1
Ingeniería Electromecánica,Automatización y Control Industrial,Curso 1
Ingeniería Electromecánica,Redes de Distribución e Instalaciones Eléctricas,Curso 1
Ingeniería Electromecánica,Oper.de Sist. Eléct.Potencia,Curso 1
Ingeniería Electromecánica,Robótica,Curso 1
Ingeniería Electromecánica,Proyecto Final,Curso 1
Ingeniería Electromecánica,Gestión y Mantenimiento Electromecánico,Curso 1
Ingeniería Electromecánica,Máquinas y Equipos de Transporte,Curso 1
