carrera,materia,comision_nombre,espacio,dia_semana,hora_inicio,hora_fin,activo,plan_estudio
Ingeniería Electromecánica,Análisis Matemático I,Curso 1,Aula 2.10,Lunes,13:30,15:45,TRUE,2023
Ingeniería Electromecánica,Algebra,Curso 1,Aula 1.3,Lunes,15:50,18:05,TRUE,2023
Ingeniería Electromecánica,Análisis Matemático I,Curso 1,Aula 1.3,Martes,13:30,15:00,TRUE,2023
Ingeniería Electromecánica,Ingeniería y Sociedad,Curso 1,Aula 1.3,Martes,15:00,18:05,TRUE,2023
Ingeniería Electromecánica,Algebra,Curso 1,,Miércoles,12:45,14:15,TRUE,2023
Ingeniería Electromecánica,Química Gral,Curso 1,,Miércoles,14:15,16:35,TRUE,2023
Ingeniería Electromecánica,Química Gral,Curso 1,,Miércoles,16:35,18:05,TRUE,2023
Ingeniería Electromecánica,Ingeniería Electromecánica I,Curso 1,Aula 2.1,Jueves,14:15,15:45,TRUE,2023
Ingeniería Electromecánica,Física I,Curso 1,Aula 1.3,Viernes,15:00,18:05,TRUE,2023
Ingeniería Electromecánica,Alfabetización Académica,Curso 1,Aula 2.2,Sábado,07:45,10:45,TRUE,2023
Ingeniería Electromecánica,Ingeniería y Sociedad,Curso 2,Aula 2.6,Lunes,18:10,19:40,TRUE,2023
Ingeniería Electromecánica,Ingeniería Electromecánica I,Curso 2,Aula 2.6,Lunes,19:40,21:15,TRUE,2023
Ingeniería Electromecánica,Química Gral,Curso 2,,Martes,18:10,20:25,TRUE,2023
Ingeniería Electromecánica,Análisis Matemático I,Curso 2,,Martes,20:30,22:45,TRUE,2023
Ingeniería Electromecánica,Química Gral,Curso 2,,Miércoles,18:10,19:40,TRUE,2023
Ingeniería Electromecánica,Análisis Matemático I,Curso 2,,Miércoles,19:40,21:15,TRUE,2023
Ingeniería Electromecánica,Algebra,Curso 2,,Miércoles,21:15,22:45,TRUE,2023
Ingeniería Electromecánica,Física I,Curso 2,Aula 2.6,Jueves,18:10,21:15,TRUE,2023
Ingeniería Electromecánica,Ingeniería y Sociedad,Curso 2,Aula 2.6,Viernes,18:55,20:25,TRUE,2023
Ingeniería Electromecánica,Algebra,Curso 2,Aula 2.9,Viernes,20:30,22:45,TRUE,2023
Ingeniería Electromecánica,Alfabetización Académica,Curso 2,Aula 2.2,Sábado,07:45,10:45,TRUE,2023
Ingeniería Electromecánica,Representación Gráfica ,Curso 1,Laboratorio informático 1,Lunes,15:50,18:05,TRUE,2023
Ingeniería Electromecánica,Representación Gráfica ,Curso 1,Laboratorio informático 2,Lunes,15:50,18:05,TRUE,2023
Ingeniería Electromecánica,Conocimiento de Materiales,Curso 1,Aula 1.2,Lunes,18:10,20:25,TRUE,2023
