carrera,materia,nivel,modalidad,cuatrimestre,plan_estudio
Ingeniería Electromecánica,Análisis Matemático I,primero,anual,,2023
Ingeniería Electromecánica,Algebra,primero,anual,,2023
Ingeniería Electromecánica,Ingeniería y Sociedad,primero,anual,,2023
Ingeniería Electromecánica,Química Gral,primero,anual,,2023
Ingeniería Electromecánica,Ingeniería Electromecánica I,primero,anual,,2023
Ingeniería Electromecánica,Física I,primero,anual,,2023
Ingeniería Electromecánica,Alfabetización Académica,primero,anual,,2023
Ingeniería Electromecánica,Representación Gráfica ,segundo,anual,,2023
Ingeniería Electromecánica,Conocimiento de Materiales,segundo,anual,,2023
Ingeniería Electromecánica,Probabilidad y Estadística,segundo,anual,,2023
Ingeniería Electromecánica,Programación en Computación,segundo,anual,,2023
Ingeniería Electromecánica,Estabilidad,segundo,anual,,2023
Ingeniería Electromecánica,Matemática para Ing. Electromecánica,segundo,anual,,2023
Ingeniería Electromecánica,Ingeniería Electromecánica II,segundo,anual,,2023
Ingeniería Electromecánica,Electrotecnia,tercero,anual,,2023
Ingeniería Electromecánica,Tecnología Mecánica,tercero,anual,,2023
Ingeniería Electromecánica,Doc. Tec. Elect.,tercero,anual,,2023
Ingeniería Electromecánica,Ingeniería Electromecánica III,tercero,anual,,2023
Ingeniería Electromecánica,Mecánica y Mecanismos,tercero,anual,,2023
Ingeniería Electromecánica,Mecánica de los Fluidos,cuarto,anual,,2023
Ingeniería Electromecánica,E. Renov. Elect.,cuarto,anual,,2023
Ingeniería Electromecánica,Máquinas Eléctricas ,cuarto,anual,,2023
Ingeniería Electromecánica,Legislación,cuarto,anual,,2023
Ingeniería Electromecánica,Elementos de Máquinas,cuarto,anual,,2023
Ingeniería Electromecánica,Electrónica Industrial,cuarto,anual,,2023
Ingeniería Electromecánica,Mediciones Eléctricas,cuarto,anual,,2023
Ingeniería Electromecánica,Instalaciones Térmicas Mecánicas y Frigoríficas,quinto,anual,,2023
Ingeniería Electromecánica,Automatización y Control Industrial,quinto,anual,,2023
Ingeniería Electromecánica,Redes de Distribución e Instalaciones Eléctricas,quinto,anual,,2023
Ingeniería Electromecánica,Oper.de Sist. Eléct.Potencia,quinto,anual,,2023
Ingeniería Electromecánica,Robótica,quinto,anual,,2023
Ingeniería Electromecánica,Proyecto Final,quinto,anual,,2023
Ingeniería Electromecánica,Gestión y Mantenimiento Electromecánico,quinto,anual,,2023
Ingeniería Electromecánica,Máquinas y Equipos de Transporte,quinto,anual,,2023
