carrera,materia,nombre
Ingeniería en Mecatrónica,Sistemas de Representación,Curso 1
Ingeniería en Mecatrónica,Sistemas Digitales,Curso 1
Ingeniería en Mecatrónica,Electrotecnia I,Curso 1
Ingeniería en Mecatrónica,Mecatrónica I,Curso 1
Ingeniería en Mecatrónica,Materiales,Curso 1
Ingeniería en Mecatrónica,Tecnología de Fabricación,Curso 1
Ingeniería en Mecatrónica,Mecatrónica II,Curso 1
Ingeniería en Mecatrónica,Automación Industrial,Curso 1
Ingeniería en Mecatrónica,Mecánica II,Curso 1
Ingeniería en Mecatrónica,Gestión de la Calidad,Curso 1
