carrera,materia,nivel,modalidad,cuatrimestre,plan_estudio
Ingeniería en Mecatrónica,Sistemas de Representación,primero,cuatrimestral,segundo,2001
Ingeniería en Mecatrónica,Sistemas Digitales,primero,cuatrimestral,segundo,2001
Ingeniería en Mecatrónica,Electrotecnia I,primero,cuatrimestral,segundo,2001
Ingeniería en Mecatrónica,Mecatrónica I,primero,anual,,2001
Ingeniería en Mecatrónica,Materiales,primero,cuatrimestral,segundo,2001
Ingeniería en Mecatrónica,Tecnología de Fabricación,segundo,cuatrimestral,segundo,2001
Ingeniería en Mecatrónica,Mecatrónica II,segundo,anual,,2001
Ingeniería en Mecatrónica,Automación Industrial,segundo,cuatrimestral,segundo,2001
Ingeniería en Mecatrónica,Mecánica II,segundo,cuatrimestral,segundo,2001
Ingeniería en Mecatrónica,Gestión de la Calidad,segundo,cuatrimestral,segundo,2001
