carrera,materia,nombre
Ingeniería Química,Álgebra,Curso 1
Ingeniería Química,Química,Curso 1
Ingeniería Química,Ingeniería y Sociedad,Curso 1
Ingeniería Química,Fundamentos de Informática,Curso 1
Ingeniería Química,Análisis Matemático I,Curso 1
Ingeniería Química,Sistemas de Representación,Curso 1
Ingeniería Química,Física I,Curso 1
Ingeniería Química,Química,Curso 2
Ingeniería Química,Álgebra,Curso 2
Ingeniería Química,Ingeniería y Sociedad,Curso 2
Ingeniería Química,Análisis Matemático I,Curso 2
Ingeniería Química,Sistemas de Representación,Curso 2
Ingeniería Química,Fundamentos de Informática,Curso 2
Ingeniería Química,Física I,Curso 2
Ingeniería Química,Probabilidad y Estadística,Curso 1
Ingeniería Química,Inglés I,Curso 1
Ingeniería Química,Química Orgánica,Curso 1
Ingeniería Química,Física II,Curso 1
Ingeniería Química,Introducción a Equipos y Procesos,Curso 1
Ingeniería Química,Legislación,Curso 1
Ingeniería Química,Química Orgánica,Curso 2
Ingeniería Química,Probabilidad y Estadística,Curso 2
Ingeniería Química,Inglés I,Curso 2
Ingeniería Química,Física II,Curso 2
Ingeniería Química,Introducción a Equipos y Procesos,Curso 2
Ingeniería Química,Legislación,Curso 2
Ingeniería Química,Físicoquímica,Curso 1
Ingeniería Química,Fenómenos de Transporte,Curso 1
Ingeniería Química,Matemática Superior Aplicada,Curso 1
Ingeniería Química,Balance de Masa y Energía,Curso 1
Ingeniería Química,Química Aplicada,Curso 1
Ingeniería Química,IRQUI,Curso 1
Ingeniería Química,Máquinas e Instalaciones Eléctricas ,Curso 1
Ingeniería Química,Organización Industrial,Curso 1
Ingeniería Química,"Diseño, simulación, optimización y seguridad de procesos",Curso 1
Ingeniería Química,Operaciones Unitarias II,Curso 1
Ingeniería Química,Proyecto Final,Curso 1
Ingeniería Química,Mecánica Industrial,Curso 1
Ingeniería Química,Calidad y Control Estadístico de Procesos,Curso 1
Ingeniería Química,Práctica Supervisada,Curso 1
Ingeniería Química,Administración de Negocios,Curso 1
Ingeniería Química,Ingeniería de las Instalaciones,Curso 1
Ingeniería Química,Ingeniería Ambiental,Curso 1
Ingeniería Química,Energías Renovables,Curso 1
Ingeniería Química,Métodos Tradicionales,Curso 1
Ingeniería Química,Procedimientos y Normativas en Alimentos,Curso 1
Ingeniería Química,Gestión de RRHH,Curso 1
Ingeniería Química,Tecnología de los Alimentos,Curso 1
Ingeniería Química,Integración V,Curso 2
Ingeniería Química,CEP,Curso 2
Ingeniería Química,Práctica Supervisada,Curso 2
Ingeniería Química,Administración de Negocios,Curso 2
Ingeniería Química,Ingeniería de las Instalaciones,Curso 2
Ingeniería Química,Energías Renovables,Curso 2
Ingeniería Química,Métodos Tradicionales,Curso 2
Ingeniería Química,Procedimientos y Normativas en Alimentos,Curso 2
Ingeniería Química,Gestión de RRHH,Curso 2
Ingeniería Química,Tecnología de los Alimentos,Curso 2
