carrera,materia,nivel,modalidad,cuatrimestre,plan_estudio
Ingeniería Química,Álgebra,primero,anual,,2023
Ingeniería Química,Química,primero,anual,,2023
Ingeniería Química,Ingeniería y Sociedad,primero,anual,,2023
Ingeniería Química,Fundamentos de Informática,primero,anual,,2023
Ingeniería Química,Análisis Matemático I,primero,anual,,2023
Ingeniería Química,Sistemas de Representación,primero,anual,,2023
Ingeniería Química,Física I,primero,anual,,2023
Ingeniería Química,Probabilidad y Estadística,segundo,anual,,2023
Ingeniería Química,Inglés I,segundo,anual,,2023
Ingeniería Química,Química Orgánica,segundo,anual,,2023
Ingeniería Química,Física II,segundo,anual,,2023
Ingeniería Química,Introducción a Equipos y Procesos,segundo,anual,,2023
Ingeniería Química,Legislación,segundo,anual,,2023
Ingeniería Química,Físicoquímica,tercero,anual,,2023
Ingeniería Química,Fenómenos de Transporte,tercero,anual,,2023
Ingeniería Química,Matemática Superior Aplicada,tercero,anual,,2023
Ingeniería Química,Balance de Masa y Energía,tercero,anual,,2023
Ingeniería Química,Química Aplicada,tercero,anual,,2023
Ingeniería Química,IRQUI,cuarto,anual,,2023
Ingeniería Química,Máquinas e Instalaciones Eléctricas ,cuarto,anual,,2023
Ingeniería Química,Organización Industrial,cuarto,anual,,2023
Ingeniería Química,"Diseño, simulación, optimización y seguridad de procesos",cuarto,anual,,2023
Ingeniería Química,Operaciones Unitarias II,cuarto,anual,,2023
Ingeniería Química,Proyecto Final,quinto,anual,,2023
Ingeniería Química,Mecánica Industrial,quinto,anual,,2023
Ingeniería Química,Calidad y Control Estadístico de Procesos,quinto,anual,,2023
Ingeniería Química,Práctica Supervisada,quinto,anual,,2023
Ingeniería Química,Administración de Negocios,quinto,anual,,2023
Ingeniería Química,Ingeniería de las Instalaciones,quinto,anual,,2023
Ingeniería Química,Ingeniería Ambiental,quinto,anual,,2023
Ingeniería Química,Energías Renovables,quinto,anual,,2023
Ingeniería Química,Métodos Tradicionales,quinto,anual,,2023
Ingeniería Química,Procedimientos y Normativas en Alimentos,quinto,anual,,2023
Ingeniería Química,Gestión de RRHH,quinto,anual,,2023
Ingeniería Química,Tecnología de los Alimentos,quinto,anual,,2023
Ingeniería Química,Integración V,quinto,anual,,1995
Ingeniería Química,CEP,quinto,anual,,1995
Ingeniería Química,Práctica Supervisada,quinto,anual,,1995
Ingeniería Química,Administración de Negocios,quinto,anual,,1995
Ingeniería Química,Ingeniería de las Instalaciones,quinto,anual,,1995
Ingeniería Química,Energías Renovables,quinto,anual,,1995
Ingeniería Química,Métodos Tradicionales,quinto,anual,,1995
Ingeniería Química,Procedimientos y Normativas en Alimentos,quinto,anual,,1995
Ingeniería Química,Gestión de RRHH,quinto,anual,,1995
Ingeniería Química,Tecnología de los Alimentos,quinto,anual,,1995
