nombre,tipo,codigo
Ingeniería en Sistemas de Información,Grado,ISI
Ingeniería Química,Grado,IQ
Ingeniería Electromecánica,Grado,IEM
Ingeniería en Mecatrónica,Grado,IM
Licenciatura en Administracion Rural,Grado,LAR
Tecnicatura Universitaria en Programación,Tecnicatura,TUP
Tecnicatura Universitaria en Logistica,Tecnicatura,TUL
Tecnicatura Universitaria en Operaciones y Mantenimiento de Redes Electricas,Tecnicatura,TUOMRE
Tecnicatura Universitaria en Programacion a Distancia,Tecnicatura,TUPD
Doctorado en Informatica,Posgrado,DI
Especialización en Higiene y Seguridad en el Trabajo,Posgrado,EHST
Especialización en Ingeniería Gerencial,Posgrado,EIG
Diplomatura en Tecnologías Inclusivas en Educación,Diplomatura,DTIE
