carrera,materia,nombre
Ingeniería en Sistemas de Información,Administración de Sistemas de Información,Curso 1
Ingeniería en Sistemas de Información,Agilidad Avanzada,Curso 1
Ingeniería en Sistemas de Información,Algebra,Curso 1
Ingeniería en Sistemas de Información,Algebra,Curso 2
Ingeniería en Sistemas de Información,Algebra,Curso 3
Ingeniería en Sistemas de Información,Algebra,Curso 4
Ingeniería en Sistemas de Información,Algoritmos y Estructuras de Datos,Curso 1
Ingeniería en Sistemas de Información,Algoritmos y Estructuras de Datos,Curso 2
Ingeniería en Sistemas de Información,Algoritmos y Estructuras de Datos,Curso 3
Ingeniería en Sistemas de Información,Algoritmos y Estructuras de Datos,Curso 4
Ingeniería en Sistemas de Información,Análisis de Sistemas,Curso 1
Ingeniería en Sistemas de Información,Análisis de Sistemas,Curso 2
Ingeniería en Sistemas de Información,Análisis Matemático I,Curso 1
Ingeniería en Sistemas de Información,Análisis Matemático I,Curso 2
Ingeniería en Sistemas de Información,Análisis Matemático I,Curso 3
Ingeniería en Sistemas de Información,Análisis Matemático I,Curso 4
Ingeniería en Sistemas de Información,Análisis Matemático II,Curso 1
Ingeniería en Sistemas de Información,Análisis Matemático II,Curso 2
Ingeniería en Sistemas de Información,Análisis Numérico,Curso 1
Ingeniería en Sistemas de Información,Aspectos Avanzados de Calidad de Software,Curso 1
Ingeniería en Sistemas de Información,Auditoría,Curso 1
Ingeniería en Sistemas de Información,Ciencia de Datos,Curso 1
Ingeniería en Sistemas de Información,Desarrollo de Software,Curso 1
Ingeniería en Sistemas de Información,DevOps,Curso 1
Ingeniería en Sistemas de Información,Diseño de Sistemas de Información,Curso 1
Ingeniería en Sistemas de Información,Física I,Curso 1
Ingeniería en Sistemas de Información,Física I,Curso 2
Ingeniería en Sistemas de Información,Física I,Curso 3
Ingeniería en Sistemas de Información,Física I,Curso 4
Ingeniería en Sistemas de Información,Fundamentos de Ciberseguridad,Curso 1
Ingeniería en Sistemas de Información,Habilitación Profesional,Curso 1
Ingeniería en Sistemas de Información,Seminario ADUSI,Curso 1
Ingeniería en Sistemas de Información,Inglés II,Curso 1
Ingeniería en Sistemas de Información,Inglés II,Curso 2
Ingeniería en Sistemas de Información,Inteligencia Artificial,Curso 1
Ingeniería en Sistemas de Información,Paradigmas,Curso 1
Ingeniería en Sistemas de Información,Paradigmas,Curso 2
Ingeniería en Sistemas de Información,Planificación,Curso 1
Ingeniería en Sistemas de Información,Práctica Supervisada,Curso 1
Ingeniería en Sistemas de Información,Probabilidad y Estadística,Curso 1
Ingeniería en Sistemas de Información,Probabilidad y Estadística,Curso 2
Ingeniería en Sistemas de Información,Proyecto,Curso 1
Ingeniería en Sistemas de Información,Redes de Datos,Curso 1
Ingeniería en Sistemas de Información,Sistemas de Gestión de Base de Datos,Curso 1
Ingeniería en Sistemas de Información,Sistemas de Información Geográficos,Curso 1
Ingeniería en Sistemas de Información,Sistemas Operativos,Curso 1
Ingeniería en Sistemas de Información,Sistemas Operativos,Curso 2
Ingeniería en Sistemas de Información,Sistemas y Procesos de Negocio,Curso 1
Ingeniería en Sistemas de Información,Sistemas y Procesos de Negocio,Curso 2
Ingeniería en Sistemas de Información,Sistemas y Procesos de Negocio,Curso 3
Ingeniería en Sistemas de Información,Sistemas y Procesos de Negocio,Curso 4
Ingeniería en Sistemas de Información,Tecnologías para la Automatización,Curso 1
Ingeniería en Sistemas de Información,Aspectos Avanzados de Redes de Información,Curso 1
