carrera,materia,nivel,modalidad,cuatrimestre,plan_estudio
Ingeniería en Sistemas de Información,Administración de Sistemas de Información,cuarto,anual,,2023
Ingeniería en Sistemas de Información,Agilidad Avanzada,cuarto,cuatrimestral,segundo,2023
Ingeniería en Sistemas de Información,Algebra,primero,anual,,2023
Ingeniería en Sistemas de Información,Algoritmos y Estructuras de Datos,primero,anual,,2023
Ingeniería en Sistemas de Información,Análisis de Sistemas,segundo,anual,,2023
Ingeniería en Sistemas de Información,Análisis Matemático I,primero,anual,,2023
Ingeniería en Sistemas de Información,Análisis Matemático II,segundo,anual,,2023
Ingeniería en Sistemas de Información,Análisis Numérico,tercero,cuatrimestral,segundo,2023
Ingeniería en Sistemas de Información,Aspectos Avanzados de Calidad de Software,cuarto,cuatrimestral,segundo,2023
Ingeniería en Sistemas de Información,Auditoría,quinto,cuatrimestral,segundo,2023
Ingeniería en Sistemas de Información,Ciencia de Datos,quinto,cuatrimestral,segundo,2023
Ingeniería en Sistemas de Información,Desarrollo de Software,tercero,cuatrimestral,segundo,2023
Ingeniería en Sistemas de Información,DevOps,quinto,cuatrimestral,segundo,2023
Ingeniería en Sistemas de Información,Diseño de Sistemas de Información,tercero,anual,,2023
Ingeniería en Sistemas de Información,Física I,primero,anual,,2023
Ingeniería en Sistemas de Información,Fundamentos de Ciberseguridad,quinto,cuatrimestral,segundo,2023
Ingeniería en Sistemas de Información,Habilitación Profesional,tercero,anual,,2023
Ingeniería en Sistemas de Información,Seminario ADUSI,tercero,anual,,2023
Ingeniería en Sistemas de Información,Inglés II,segundo,cuatrimestral,segundo,2023
Ingeniería en Sistemas de Información,Inteligencia Artificial,quinto,cuatrimestral,segundo,2023
Ingeniería en Sistemas de Información,Paradigmas,segundo,cuatrimestral,segundo,2023
Ingeniería en Sistemas de Información,Planificación,tercero,cuatrimestral,segundo,2023
Ingeniería en Sistemas de Información,Práctica Supervisada,quinto,anual,,2023
Ingeniería en Sistemas de Información,Probabilidad y Estadística,tercero,cuatrimestral,segundo,2023
Ingeniería en Sistemas de Información,Proyecto,quinto,anual,,2023
Ingeniería en Sistemas de Información,Redes de Datos,cuarto,cuatrimestral,segundo,2023
Ingeniería en Sistemas de Información,Sistemas de Gestión de Base de Datos,tercero,cuatrimestral,segundo,2023
Ingeniería en Sistemas de Información,Sistemas de Información Geográficos,cuarto,cuatrimestral,segundo,2023
Ingeniería en Sistemas de Información,Sistemas Operativos,segundo,cuatrimestral,segundo,2023
Ingeniería en Sistemas de Información,Sistemas y Procesos de Negocio,primero,anual,,2023
Ingeniería en Sistemas de Información,Tecnologías para la Automatización,cuarto,cuatrimestral,segundo,2023
Ingeniería en Sistemas de Información,Aspectos Avanzados de Redes de Información,quinto,cuatrimestral,segundo,2023
