carrera,materia,Curso
Licenciatura en Administracion Rural,Producción Vegetal,Curso 1
Licenciatura en Administracion Rural,Fundamentos de la administración,Curso 1
Licenciatura en Administracion Rural,Fundamentos de economía,Curso 1
Licenciatura en Administracion Rural,Contabilidad para la administración,Curso 1
Licenciatura en Administracion Rural,"Tecnología, innovación y contexto agro productivo",Curso 1
Licenciatura en Administracion Rural,Análisis Matemático,Curso 1
Licenciatura en Administracion Rural,Hidrología Rural,Curso 1
Licenciatura en Administracion Rural,Gestión de la empresa agropecuaria,Curso 1
Licenciatura en Administracion Rural,Economía de la empresa agraria,Curso 1
Licenciatura en Administracion Rural,Estadística,Curso 1
Licenciatura en Administracion Rural,Producción Agraria II,Curso 1
Licenciatura en Administracion Rural,Administración Financiera,Curso 1
Licenciatura en Administracion Rural,Control de gestión de la empresa agropecuaria,Curso 1
Licenciatura en Administracion Rural,Inglés II,Curso 1
Licenciatura en Administracion Rural,Investigación Operativa,Curso 1
Licenciatura en Administracion Rural,Procesos Agroindustriales II,Curso 1
Licenciatura en Administracion Rural,Legislación,Curso 1
Licenciatura en Administracion Rural,Política Agropecuaria,Curso 1
Licenciatura en Administracion Rural,Seminario Final,Curso 1
Licenciatura en Administracion Rural,Práctica Soc.e Imposit.,Curso 1
Licenciatura en Administracion Rural,Inv.de Merc.,Curso 1
