carrera,materia,comision_nombre,espacio,dia_semana,hora_inicio,hora_fin,activo,plan_estudio
Licenciatura en Administracion Rural,Producción Vegetal,Curso 1,Aula 2.11,Lunes,13:30,16:35,TRUE,2026
Licenciatura en Administracion Rural,Fundamentos de la administración,Curso 1,Aula 2.11,Martes,13:30,16:35,TRUE,2026
Licenciatura en Administracion Rural,Fundamentos de economía,Curso 1,Aula 2.11,Miércoles,13:30,16:35,TRUE,2026
Licenciatura en Administracion Rural,Contabilidad para la administración,Curso 1,Aula 2.11,Miércoles,16:35,18:05,TRUE,2026
Licenciatura en Administracion Rural,Producción Vegetal,Curso 1,Aula 2.11,Jueves,13:30,16:35,TRUE,2026
Licenciatura en Administracion Rural,Contabilidad para la administración,Curso 1,Aula 2.11,Jueves,16:35,18:05,TRUE,2026
Licenciatura en Administracion Rural,Fundamentos de economía,Curso 1,Aula 2.11,Viernes,13:30,16:35,TRUE,2026
Licenciatura en Administracion Rural,"Tecnología, innovación y contexto agro productivo",Curso 1,Aula 2.11,Viernes,16:35,18:05,TRUE,2026
Licenciatura en Administracion Rural,Análisis Matemático,Curso 1,Aula 1.2,Miércoles,13:30,15:45,TRUE,1995
Licenciatura en Administracion Rural,Hidrología Rural,Curso 1,Laboratorio informático 3,Jueves,15:50,18:05,TRUE,1995
Licenciatura en Administracion Rural,Análisis Matemático,Curso 1,Aula 1.2,Viernes,13:30,17:20,TRUE,1995
Licenciatura en Administracion Rural,Gestión de la empresa agropecuaria,Curso 1,Aula 1.6,Lunes,13:30,16:35,TRUE,2026
Licenciatura en Administracion Rural,Economía de la empresa agraria,Curso 1,Aula 1.6,Lunes,16:35,18:05,TRUE,2026
Licenciatura en Administracion Rural,Estadística,Curso 1,Aula 1.6,Martes,13:30,15:45,TRUE,2026
Licenciatura en Administracion Rural,Producción Agraria II,Curso 1,Aula 1.6,Martes,15:50,18:05,TRUE,2026
Licenciatura en Administracion Rural,Gestión de la empresa agropecuaria,Curso 1,Aula 1.6,Miércoles,13:30,16:35,TRUE,2026
Licenciatura en Administracion Rural,Estadística,Curso 1,Aula 1.6,Jueves,13:30,15:45,TRUE,2026
Licenciatura en Administracion Rural,Economía de la empresa agraria,Curso 1,Aula 1.6,Jueves,15:50,18:05,TRUE,2026
Licenciatura en Administracion Rural,Producción Agraria II,Curso 1,Aula 1.6,Viernes,13:30,15:45,TRUE,2026
Licenciatura en Administracion Rural,Economía de la empresa agraria,Curso 1,Aula 1.6,Viernes,15:50,18:05,TRUE,2026
Licenciatura en Administracion Rural,Administración Financiera,Curso 1,,Lunes,13:30,15:45,TRUE,2026
Licenciatura en Administracion Rural,Control de gestión de la empresa agropecuaria,Curso 1,,Lunes,15:50,18:05,TRUE,2026
Licenciatura en Administracion Rural,Inglés II,Curso 1,Laboratorio informático 3,Martes,13:30,16:35,TRUE,2026
Licenciatura en Administracion Rural,Investigación Operativa,Curso 1,,Martes,16:35,18:05,TRUE,2026
Licenciatura en Administracion Rural,Investigación Operativa,Curso 1,,Miércoles,13:30,15:45,TRUE,2026
Licenciatura en Administracion Rural,Procesos Agroindustriales II,Curso 1,,Miércoles,15:50,18:55,TRUE,2026
Licenciatura en Administracion Rural,Administración Financiera,Curso 1,,Jueves,13:30,15:45,TRUE,2026
Licenciatura en Administracion Rural,Investigación Operativa,Curso 1,,Jueves,15:50,18:05,TRUE,2026
Licenciatura en Administracion Rural,Control de gestión de la empresa agropecuaria,Curso 1,,Viernes,13:30,17:20,TRUE,2026
Licenciatura en Administracion Rural,Legislación,Curso 1,,Lunes,13:30,16:35,TRUE,2026
Licenciatura en Administracion Rural,Política Agropecuaria,Curso 1,,Lunes,16:35,18:05,TRUE,2026
Licenciatura en Administracion Rural,Seminario Final,Curso 1,,Martes,13:30,18:05,TRUE,2026
Licenciatura en Administracion Rural,Práctica Soc.e Imposit.,Curso 1,,Miércoles,13:30,16:35,TRUE,2026
Licenciatura en Administracion Rural,Inv.de Merc.,Curso 1,,Miércoles,16:35,18:05,TRUE,2026
Licenciatura en Administracion Rural,Seminario Final,Curso 1,,Jueves,13:30,15:00,TRUE,2026
Licenciatura en Administracion Rural,Inv.de Merc.,Curso 1,,Jueves,15:00,18:05,TRUE,2026
Licenciatura en Administracion Rural,Seminario Final,Curso 1,,Viernes,13:30,15:00,TRUE,2026
Licenciatura en Administracion Rural,Política Agropecuaria,Curso 1,,Viernes,15:00,18:05,TRUE,2026
