carrera,materia,nivel,modalidad,cuatrimestre,plan_estudio
Licenciatura en Administracion Rural,Producción Vegetal,primero,anual,,2026
Licenciatura en Administracion Rural,Fundamentos de la administración,primero,anual,,2026
Licenciatura en Administracion Rural,Fundamentos de economía,primero,anual,,2026
Licenciatura en Administracion Rural,Contabilidad para la administración,primero,anual,,2026
Licenciatura en Administracion Rural,"Tecnología, innovación y contexto agro productivo",primero,anual,,2026
Licenciatura en Administracion Rural,Análisis Matemático,primero,anual,,1995
Licenciatura en Administracion Rural,Hidrología Rural,primero,anual,,1995
Licenciatura en Administracion Rural,Gestión de la empresa agropecuaria,segundo,anual,,2026
Licenciatura en Administracion Rural,Economía de la empresa agraria,segundo,anual,,2026
Licenciatura en Administracion Rural,Estadística,segundo,anual,,2026
Licenciatura en Administracion Rural,Producción Agraria II,segundo,anual,,2026
Licenciatura en Administracion Rural,Administración Financiera,tercero,anual,,2026
Licenciatura en Administracion Rural,Control de gestión de la empresa agropecuaria,tercero,anual,,2026
Licenciatura en Administracion Rural,Inglés II,tercero,anual,,2026
Licenciatura en Administracion Rural,Investigación Operativa,tercero,anual,,2026
Licenciatura en Administracion Rural,Procesos Agroindustriales II,tercero,anual,,2026
Licenciatura en Administracion Rural,Legislación,cuarto,anual,,2026
Licenciatura en Administracion Rural,Política Agropecuaria,cuarto,anual,,2026
Licenciatura en Administracion Rural,Seminario Final,cuarto,anual,,2026
Licenciatura en Administracion Rural,Práctica Soc.e Imposit.,cuarto,anual,,2026
Licenciatura en Administracion Rural,Inv.de Merc.,cuarto,anual,,2026
