carrera,materia,nombre
Tecnicatura Universitaria en Programación,Inglés I,Curso 1
Tecnicatura Universitaria en Programación,Base de Datos I,Curso 1
Tecnicatura Universitaria en Programación,Probabilidad y Estadística,Curso 1
Tecnicatura Universitaria en Programación,Programación II,Curso 1
Tecnicatura Universitaria en Programación,Programación II,Curso 2
Tecnicatura Universitaria en Programación,Probabilidad y Estadística,Curso 2
Tecnicatura Universitaria en Programación,Inglés I,Curso 2
Tecnicatura Universitaria en Programación,Base de Datos I,Curso 2
Tecnicatura Universitaria en Programación,Probabilidad y Estadística,Curso 3
Tecnicatura Universitaria en Programación,Programación II,Curso 3
Tecnicatura Universitaria en Programación,Inglés I,Curso 3
Tecnicatura Universitaria en Programación,Base de Datos I,Curso 3
Tecnicatura Universitaria en Programación,Legislación,Curso 1
Tecnicatura Universitaria en Programación,Introducción al Análisis de Datos,Curso 1
Tecnicatura Universitaria en Programación,Trabajo Final Integrador,Curso 1
Tecnicatura Universitaria en Programación,Metodología de Sistemas II,Curso 1
Tecnicatura Universitaria en Programación,Programación IV,Curso 1
Tecnicatura Universitaria en Programación,Gestión de Desarrollo de Software,Curso 1
Tecnicatura Universitaria en Programación,Trabajo Final Integrador,Curso 2
Tecnicatura Universitaria en Programación,Introducción al Análisis de Datos,Curso 2
Tecnicatura Universitaria en Programación,Legislación,Curso 2
Tecnicatura Universitaria en Programación,Metodología de Sistemas II,Curso 2
Tecnicatura Universitaria en Programación,Programación IV,Curso 2
Tecnicatura Universitaria en Programación,Gestión de Desarrollo de Software,Curso 2
