carrera,materia,comision_nombre,espacio,dia_semana,hora_inicio,hora_fin,activo,plan_estudio
Tecnicatura Universitaria en Programación,Inglés I,Curso 1,,Lunes,08:00,12:15,TRUE,
Tecnicatura Universitaria en Programación,Base de Datos I,Curso 1,,Martes,08:00,12:15,TRUE,
Tecnicatura Universitaria en Programación,Probabilidad y Estadística,Curso 1,,Miércoles,08:00,12:15,TRUE,
Tecnicatura Universitaria en Programación,Programación II,Curso 1,,Jueves,08:00,12:15,TRUE,
Tecnicatura Universitaria en Programación,Programación II,Curso 1,,Viernes,08:00,12:15,TRUE,
Tecnicatura Universitaria en Programación,Programación II,Curso 2,,Lunes,13:45,18:00,TRUE,
Tecnicatura Universitaria en Programación,Probabilidad y Estadística,Curso 2,,Martes,13:45,18:00,TRUE,
Tecnicatura Universitaria en Programación,Inglés I,Curso 2,,Miércoles,13:45,18:00,TRUE,
Tecnicatura Universitaria en Programación,Base de Datos I,Curso 2,,Jueves,13:45,18:00,TRUE,
Tecnicatura Universitaria en Programación,Programación II,Curso 2,,Viernes,13:45,18:00,TRUE,
Tecnicatura Universitaria en Programación,Probabilidad y Estadística,Curso 3,,Lunes,18:15,22:30,TRUE,
Tecnicatura Universitaria en Programación,Programación II,Curso 3,,Martes,18:15,22:30,TRUE,
Tecnicatura Universitaria en Programación,Inglés I,Curso 3,,Miércoles,18:15,22:30,TRUE,
Tecnicatura Universitaria en Programación,Programación II,Curso 3,,Jueves,18:15,22:30,TRUE,
Tecnicatura Universitaria en Programación,Base de Datos I,Curso 3,,Viernes,18:15,22:30,TRUE,
Tecnicatura Universitaria en Programación,Legislación,Curso 1,,Lunes,13:45,15:45,TRUE,
Tecnicatura Universitaria en Programación,Introducción al Análisis de Datos,Curso 1,,Lunes,16:00,18:00,TRUE,
Tecnicatura Universitaria en Programación,Trabajo Final Integrador,Curso 1,,Lunes,18:15,20:15,TRUE,
Tecnicatura Universitaria en Programación,Metodología de Sistemas II,Curso 1,,Martes,13:45,18:00,TRUE,
Tecnicatura Universitaria en Programación,Programación IV,Curso 1,,Miércoles,13:45,18:00,TRUE,
Tecnicatura Universitaria en Programación,Gestión de Desarrollo de Software,Curso 1,,Jueves,13:45,18:00,TRUE,
Tecnicatura Universitaria en Programación,Programación IV,Curso 1,,Viernes,13:45,18:00,TRUE,
Tecnicatura Universitaria en Programación,Trabajo Final Integrador,Curso 2,,Lunes,13:45,15:45,TRUE,
Tecnicatura Universitaria en Programación,Introducción al Análisis de Datos,Curso 2,,Lunes,18:15,20:15,TRUE,
Tecnicatura Universitaria en Programación,Legislación,Curso 2,,Lunes,20:30,22:30,TRUE,
Tecnicatura Universitaria en Programación,Metodología de Sistemas II,Curso 2,,Martes,18:15,22:30,TRUE,
Tecnicatura Universitaria en Programación,Programación IV,Curso 2,,Miércoles,18:15,22:30,TRUE,
Tecnicatura Universitaria en Programación,Programación IV,Curso 2,,Jueves,18:15,22:30,TRUE,
Tecnicatura Universitaria en Programación,Gestión de Desarrollo de Software,Curso 2,,Viernes,18:15,22:30,TRUE,
