carrera,materia,nivel,modalidad,cuatrimestre,plan_estudio
Tecnicatura Universitaria en Programación,Inglés I,primero,anual,,
Tecnicatura Universitaria en Programación,Base de Datos I,primero,anual,,
Tecnicatura Universitaria en Programación,Probabilidad y Estadística,primero,anual,,
Tecnicatura Universitaria en Programación,Programación II,primero,anual,,
Tecnicatura Universitaria en Programación,Legislación,segundo,anual,,
Tecnicatura Universitaria en Programación,Introducción al Análisis de Datos,segundo,anual,,
Tecnicatura Universitaria en Programación,Trabajo Final Integrador,segundo,anual,,
Tecnicatura Universitaria en Programación,Metodología de Sistemas II,segundo,anual,,
Tecnicatura Universitaria en Programación,Programación IV,segundo,anual,,
Tecnicatura Universitaria en Programación,Gestión de Desarrollo de Software,segundo,anual,,
